budget,popularity,revenue,runtime,vote_average
88000000,48.171,36964325,121,6.6
0,57.542,0,0,7.3
120000000,51.231,461983149,117,6.922
120000000,56.056,428028233,107,6.444
0,49.691,0,0,0.0
40000000,65.445,126069509,97,5.403
62000000,84.813,190400157,121,6.675
0,45.174,0,103,6.845
0,45.314,14037060,97,7.993
5000000,48.03,98450062,94,6.311
50000000,41.972,87528173,99,5.878
35000000,67.06,15185241,107,4.294
0,46.551,0,45,6.756
20000000,52.65,170812526,113,7.22
130000000,56.494,448191819,88,7.401
0,47.183,0,85,6.811
0,48.283,0,0,0.0
120000000,55.93,829747654,115,6.476
0,51.045,0,4,6.547
0,48.99,0,112,7.654
180000000,58.941,758539785,97,7.09
205000000,53.799,365304105,150,7.2
13000000,76.729,102600000,202,8.596
6400000,60.418,78371200,108,7.641
150000000,56.905,585410052,101,7.2
185000000,51.862,491730089,119,7.338
200000000,66.251,1215577205,130,6.926
17000000,53.444,65535067,88,5.925
0,51.469,0,83,10.0
9000000,57.878,278454358,117,7.334
175000000,53.025,332207671,93,6.748
120000000,54.112,363258859,95,6.965
178000000,56.365,543934787,144,6.514
0,48.684,0,0,6.571
0,47.192,0,90,6.927
25000000,54.186,226830568,94,7.383
0,73.924,2551835,105,6.561
97000000,49.835,240891763,122,6.076
0,49.893,0,87,7.011
5600000,42.139,540482,112,7.233
0,46.452,0,99,6.596
8000000,76.971,214179088,154,8.49
0,69.099,0,103,0.0
0,82.583,0,99,6.7
0,44.364,5700000,111,6.849
3500000,43.792,0,89,6.265
1000000,39.404,30894796,104,6.213
29000000,49.244,115603229,123,7.878
0,42.648,0,107,6.011
0,47.156,0,109,6.386
250000000,56.181,747862775,132,7.521
8020000,58.996,0,100,6.716
7000000,51.312,45100756,111,7.557
1500000,46.915,99870886,103,6.94
15000000,48.37,306515884,110,6.598
140000000,52.47,622674139,119,6.954
165000000,50.414,494879471,98,7.807
35000000,61.959,79628200,107,7.224
100000000,55.547,0,0,0.0
0,49.062,0,22,6.956
0,47.134,0,10,5.125
30000000,54.399,231252591,106,6.438
12600000,49.435,28650575,84,6.34
